m/z,Intensity
243.86429,1068.2
243.95575,453.1
244.00251,2431.7
244.02422,681.2
244.03915,10684.7
244.0755,9375.3
244.0993,936.5
244.10184,370.2
244.12163,1271.5
244.13847,1166.6
244.17976,109121.7
244.19026,208052.5
244.19583,328.3
244.22672,3517.4
244.24576,1570.3
244.26299,71716.4
244.2842,128040.2
244.29024,2583733.3
244.29622,3556.9
244.32645,456.5
244.44295,581.7
244.6433,1125.3
244.83609,1224.5
244.91985,15139.6
244.95637,4149.3
244.99625,4796.9
245.01348,10172.2
245.0329,1194.6
245.06184,552.3
245.07227,1319.8
245.07788,3833.1
245.08675,368.5
245.11429,16526
245.1824,373.1
245.19352,3317.3
245.23563,1071.5
245.26622,465.6
245.27632,660.1
245.28799,572.2
245.29385,85712.2
245.32381,897.5
245.35712,550.1
245.47331,888.3
245.71495,300.1
245.72572,548.6
245.93004,862.7
245.99857,734.1
246.01839,42740.1
246.02832,607.3
246.03305,358.1
246.04655,335.8
246.05483,89650.1
246.08676,1099.8
246.11049,4035.3
246.11725,933.1
246.12405,1333.3
246.16931,515.2
246.17676,10596.2
246.26314,428.2
246.3768,889
246.44054,337.5
246.51633,1465.2
246.5619,740
246.6235,448
246.70195,576.6
246.80672,542.8
246.83276,1093.3
246.9543,433
247.00108,1088.6
247.01958,363.7
247.05478,685.1
247.05806,481.1
247.08609,1903.7
247.09353,1489.2
247.10167,456.6
247.13009,33878.9
247.15329,1679.2
247.16861,1095.2
247.22632,64757.7
247.23502,607.8
247.31111,317.1
247.46861,638.4
247.66631,843
247.91302,814.8
247.96249,827.8
247.96532,280.7
247.998,13208.2
248.0341,12161.9
248.06102,403.8
248.07072,411.8
248.0767,8049.9
248.20047,798.5
248.46039,998.7
248.57851,845.4
248.66019,888.7
248.71159,934.2
248.75237,665
248.9512,2640
249.03159,1266.1
249.05737,307.3
249.06411,1510.9
249.11114,22182.7
249.14563,1560
249.18439,38189.3
249.23206,40854.7
249.31168,1316.9
249.97714,990.1
249.99274,601.3
250.01363,470.3
250.01572,545.2
250.02316,494.2
250.02866,293074.9
250.0934,1006.4
250.19024,39789.9
250.21595,14395.6
250.2358,1217.4
250.61588,678.7
250.61951,312.3
250.6534,549.4
250.69177,6221
250.76326,639.8
250.85295,510.3
250.94846,664.4
250.99986,1118.6
251.02837,1820.8
251.03145,1110.9
251.04292,4093.5
251.06239,705
251.07204,1017.8
251.09398,419.9
251.12513,7711.4
251.16262,7525.9
251.24187,606.5
251.2476,682243.6
251.66989,631.9
251.71039,416.2
251.77162,1918.6
251.78357,362.5
251.96559,1061.6
251.97143,122497.4
251.98816,417.5
252.02903,2824
252.16699,563.2
252.2315,23685.3
252.25082,91266.7
252.26806,2207.3
252.34358,724.7
252.64626,803.1
252.94626,449.5
253.03787,107823
253.08427,539.3
253.11163,710.5
253.14166,14551.1
253.17739,4866.2
253.17934,1662.8
253.21542,1024.5
253.23508,386.9
253.25317,1399.6
253.26335,17104.4
253.27264,406.5
253.36565,445.3
253.58913,1052
253.65538,570.9
253.83572,662.2
253.97632,363.5
254.01091,404.1
254.02342,411015.7
254.04161,1272.5
254.06006,8585.8
254.09639,800.3
254.17358,365.7
254.21117,385.7
254.24159,494
254.24727,473046.4
254.26685,999.4
254.37616,394.4
254.4761,547.6
254.61443,454.8
254.65477,851.8
254.68068,890.2
254.69147,1084.5
254.70573,395.5
254.99455,686.5
255.00786,395.9
255.02376,8016.5
255.02706,3571.3
255.04698,132563.8
255.08435,618.5
255.0915,5717.9
255.12209,77266.4
255.13551,543.4
255.15577,797.4
255.1584,7090.9
255.17491,582.5
255.19369,1563
255.20598,1285.5
255.23131,6475.4
255.24202,1063.9
255.2507,32927.4
255.34413,387.5
255.58531,874.9
255.65096,1064.7
255.82159,406.6
255.87894,248.9
255.96627,5628.8
256.02241,850.8
256.0278,556.6
256.03906,666.8
256.05011,449.8
256.0751,580.6
256.19058,612.9
256.25615,8394.6
256.2629,3605810.8
256.26946,4120.7
256.29932,60505.2
256.44778,509
256.80945,621.6
256.84982,46462.2
256.93853,3610.1
257.0327,21968.8
257.05674,9163.4
257.06876,588.9
257.07861,656.5
257.10722,11634.3
257.13837,428.1
257.15062,2683.4
257.17365,1201.6
257.17596,550.7
257.18471,13640.6
257.19793,3168.8
257.24741,340.6
257.25962,28864.9
257.26623,598221.1
257.29452,130511.9
257.30241,1414.5
257.51858,856.6
257.99368,1427.9
258.01856,1939.6
258.03192,1101.8
258.05514,3617.1
258.09135,21549.5
258.16974,556.8
258.20584,13736.8
258.24212,8788.7
258.26956,6927.7
258.27236,2608.7
258.27864,392935.4
258.28418,542.2
258.28668,1025.5
258.29688,526.4
258.35007,520.6
258.48148,1144.6
258.64001,1350.5
258.81668,596.2
258.8457,695.4
258.93529,9954.7
259.01195,43472.4
259.02915,6763.4
259.047,450.8
259.06219,6432.8
259.09359,19182.6
259.10245,424.6
259.1212,1636.5
259.12941,1643
259.17966,384.3
259.18863,614.2
259.20926,711.4
259.22634,9929.7
259.28217,23906.4
259.43246,495.1
259.5845,782.5
259.7038,1075.8
259.82275,925.9
259.97089,436.1
260.0188,454.4
260.03403,36551.2
260.07047,16454.9
260.09369,2220.6
260.10098,673.6
260.11649,609.1
260.14853,4593.1
260.15361,34791
260.32312,807
260.49078,386.3
260.60034,968.9
260.79724,495.5
260.80096,758.1
260.85913,823.7
260.92761,497.6
260.9718,272.9
261.0289,421.4
261.06598,1425.8
261.07053,487.5
261.10047,12851.8
261.1096,1673
261.13039,1609.4
261.14607,820.2
261.1575,591.7
261.18399,760.3
261.24405,718.6
261.33716,757.3
261.36636,974.4
261.52207,3175.3
261.58762,378.9
261.69604,437.3
261.72443,1074
261.84424,652.2
261.85657,2067.9
262.01336,44353.1
262.02873,6213.5
262.04196,798.4
262.04958,906
262.08981,602.6
262.15077,3583.7
262.19055,408
262.38184,649.2
262.4848,876.8
262.53366,1332.1
262.77026,623.8
262.93029,11845.6
262.96651,5582.1
263.00624,1757.1
263.01114,659.6
263.02356,3607.2
263.04227,434.8
263.07974,24376.9
263.0899,476.1
263.12518,3176.9
263.16181,1692.8
263.21152,425.4
263.22118,4744.8
263.25659,918.5
263.33505,720.9
263.40891,698.7
263.62598,683.9
263.68355,2917.3
263.73553,324.9
263.9306,440.8
263.93507,1112.5
264.00794,8514.8
264.04457,952
264.17926,455.9
264.18781,2402.1
264.19516,486.5
264.22914,8356
264.25267,7119.1
264.26163,475.1
264.29727,387.4
264.38321,959
