m/z,Intensity
153.48929,2210.9
153.55374,2104
154.10307,3162.3
154.12032,1922.7
154.12242,1739.7
154.39334,2497.2
154.53206,2389.8
154.84531,2324.3
154.877,1790
155.11307,2208.2
155.15397,8529.2
155.64615,2147
155.66335,3010.6
155.7878,3263.3
155.85791,2052.9
155.94081,2031.7
156.13818,22013.9
156.4539,3187.7
156.61177,4731
156.63962,2309.8
157.02438,2242.8
157.14752,2148.7
157.16994,3243.4
157.18044,4340.2
157.25238,2195.9
157.53174,2817.6
157.62083,3984.5
157.77679,2424.9
157.82478,4634
157.94077,2568.2
157.96626,7886.4
158.11734,11122.3
158.15038,3317.1
158.15371,3463088.8
158.19682,2279.4
158.36441,1992.9
158.99617,84650.7
159.10133,2336.7
159.14908,6532.9
159.15707,310588.4
159.34618,1835.8
159.35948,3139.6
159.70175,2490
159.70697,2316
160.00751,2924.5
160.09677,5221.7
160.13297,122474.9
160.15253,4625.6
160.44421,2322.3
160.45688,2321.1
161.01188,14593.6
161.08315,2556.6
161.40845,1711.2
161.4556,1991.4
161.56418,2584.4
161.59482,2387.1
161.99336,3002.1
161.99764,33445.3
162.23442,3056.6
162.27989,2010
162.47069,2193.4
162.54939,2221.6
162.77609,2167.6
162.78018,2701.3
162.82281,1913.5
163.02748,162541
163.07825,5417
163.82045,2690.3
164.02231,4019.6
164.09146,7963
164.10454,2087.3
164.92155,2397.2
164.9842,34502.3
164.99141,3139.3
165.01321,59887.1
165.09073,5486.4
165.17859,2065.6
165.42796,2206
165.43945,2511
165.7162,2977.6
165.78831,2271.1
165.86165,2289.6
166.00055,7847.8
166.11978,2177.5
166.15863,2165.2
166.51617,2574.9
166.5354,4665.3
166.68845,4220.6
167.06921,2011.1
167.09702,2912.6
168.10896,3208.8
169.04678,38356.6
169.31032,2234.2
169.50525,2620.5
170.12941,1929.6
170.15387,2011.2
170.4276,2749.2
170.9509,1756.8
171.02849,1082399.6
171.33676,2409.9
171.9369,5740.7
172.03186,28948.6
172.03633,3033.3
172.13289,216535.2
172.16933,15605.5
172.20562,13981.2
172.756,2792.6
173.00606,1658.9
173.04309,2267.4
173.36769,4002.4
173.55664,1980.5
173.79059,2741
173.86658,1825.3
173.99422,3088.5
174.00716,3482.8
174.14864,493915.2
174.15182,3044.7
174.18508,21939.6
174.51181,2074.4
174.64447,2563.9
174.9686,26541.8
175.00544,96898.5
175.04479,37866
175.11571,2315
175.15204,7512.7
175.19139,2031.9
175.29988,1875.9
175.48718,2219.3
175.84653,4031.7
175.97658,2321
176.09113,5058.3
176.47699,2685.8
176.72852,2023.7
176.88405,2199.4
176.88846,2277.3
176.98424,47906.4
177.00679,92404.6
177.0424,1956.8
177.32387,2279.3
177.37183,2013.8
177.62785,2380.8
177.66603,2820.8
177.68039,2437.2
177.90247,4921.8
178.02866,2370.6
178.33423,1850.5
178.60152,2173.3
178.6174,1698.5
178.98447,3607.1
178.99981,631398.2
179.01225,1847.1
179.28719,2670
179.526,2017.2
180.08528,2273.8
180.13558,351318
180.32976,2239.8
180.74088,2195.6
180.79277,1870.1
181.0002,278222
181.03799,39087.9
181.1393,2226.7
181.14519,2559.8
181.67491,1952.8
181.95358,1841.1
182.07358,3333.3
182.1993,3298.3
182.21336,5057.5
182.30685,2107.7
182.99573,67629.6
183.0766,4357.5
183.08018,859882.1
183.43719,2586.2
183.67726,2076.7
183.88583,2375.8
184.08351,59197.5
184.16935,106796.2
184.20574,556764.3
184.20955,2019.7
184.53566,2093.1
184.79504,2878.5
184.90942,3230.4
184.96727,2703
184.97806,2799.7
185.04409,19094.8
185.05211,1811.4
185.17201,1987.6
185.20901,26098.2
185.3322,3304.4
185.45213,2991.5
185.52502,3193.7
186.18481,3216.9
186.22133,41013020
186.29329,1967.6
186.3549,3647
186.42735,5171.9
186.84422,5199.2
186.99393,30460.5
187.07271,14243
187.15491,2762.7
187.21835,54073.4
187.22025,3843.8
187.22464,5302704.5
187.22876,51091
187.27333,2015.9
188.05097,12984.3
188.05503,2228793.8
188.05889,5134.7
188.06987,2460.6
188.12752,3103.6
188.2242,2782.9
188.22803,298797.4
188.32173,2265.4
189.0584,107678.6
189.11279,2320.9
189.18433,5163.3
189.4541,2368.2
189.99241,296524.2
190.00061,2565.7
190.14312,6947.9
190.29846,4935.1
190.43015,1943.8
191.01833,4085.2
191.02231,722030.3
191.16853,3225.4
191.99504,5859.4
192.46701,2981.4
192.93924,2206.6
192.97887,6167.3
193.01049,1381756.8
193.03801,15125.2
193.05541,145850
193.82094,2614.7
193.99556,6591.2
194.01392,34300.7
194.30405,3576.2
195.01733,28597.3
195.05322,9202.2
195.37675,2048.1
195.73337,2778.5
196.2617,2482.5
196.41985,2789
196.76419,2730.9
196.84081,2522.3
197.00507,2614.6
197.23291,1816.3
197.38318,2275.1
197.61839,2132.5
197.65506,3589.2
198.13304,2501
198.18486,60953
198.62988,3159.8
198.64919,5207.1
199.01061,6237.6
199.06767,4244.8
199.58272,2414.5
