Formula,m/z
Cu1O3N1C7H8,216.98143
Cu1O2N3C6H8,216.99133
Cu1O1N5C5H8,217.00053
Cu1O1N5C5H8,217.00175
Cu1O2N2C7H10,217.00175
Cu1O1N4C6H10,217.01358
Cu1O1N4C6H10,217.01483
Cu1O1N1C10H5,217.96616
Cu1O2N4C5H7,217.98619
Cu1O3N1C7H9,217.98619
Cu1O1N5C5H9,218.01106
Cu1O2N2C8,218.92393
Cu1O1N3C8H2,218.9481
Cu1O3N4C4H4,218.95839
Cu1O3N3C5H6,218.96971
Cu1O1N1C10H6,218.9729
Cu1O3N1C7H10,218.99703
Cu1O2N3C6H10,219.00693
Cu1O1N5C5H10,219.01674
Cu1O1N5C5H10,219.0182
Cu1O2N1C9H3,219.94653
Cu1O1N3C8H3,219.95798
Cu1O2N5C4H7,219.98721
Cu1O2N5C4H7,219.99002
Cu1O3N2C6H9,219.99002
Cu1O2N5C4H7,219.99101
Cu1O3N2C6H9,219.99101
Cu1O2N4C5H9,220.00174
Cu1O1N5C6,220.93751
Cu1O3N4C4H6,220.97413
Cu1O3N4C4H6,220.97475
Cu1O1N1C10H8,220.98798
Cu1O2N4C5H10,221.00955
Cu1O2N4C5H10,221.01071
Cu1O3N3C5H9,221.99411
Cu1O2N5C4H9,222.00252
Cu1O2N5C4H9,222.00468
Cu1O2N5C4H9,222.00603
Cu1O1N2C9H8,222.99214
Cu1O1N2C9H8,222.99281
Cu1O3N3C5H10,223.00003
Cu1O3N3C5H10,223.00179
Cu1O3N3C5H10,223.00247
Cu1O2N5C4H10,223.01043
Cu1O2N5C4H10,223.01292
Cu1O2N3C7H3,223.94977
Cu1O3N5C3H7,223.9837
Cu1O3N5C3H7,223.98497
Cu1O1N3C8H7,223.98714
Cu1O1N3C8H7,223.98767
Cu1O3N4C4H9,223.99527
Cu1O1N2C9H9,223.99989
Cu1O2N5C5,224.93327
Cu1O1N5C6H4,224.96922
Cu1O1N5C6H4,224.97118
Cu1O2N2C8H6,224.97118
Cu1O1N3C8H8,224.99478
Cu1O1N3C8H8,224.99577
Cu1O3N4C4H10,225.00445
Cu1O1N2C9H10,225.00779
Cu1O3N5C3H9,225.99779
Cu1O3N5C3H9,225.99968
Cu1O1N3C8H9,226.00301
Cu1O2N4C6H4,226.9603
Cu1O1N5C6H6,226.98708
Cu1O2N2C8H8,226.98708
Cu1O1N4C7H8,226.99811
Cu1O2N1C9H10,226.99811
Cu1O3N5C3H10,227.00871
Cu1O1N3C8H10,227.01097
Cu1O1N3C8H10,227.01221
Cu1O1N3C8H10,227.01302
Cu1O1N3C8H10,227.0137
Cu1O2N3C7H7,227.98225
Cu1O2N3C7H7,227.98367
Cu1O3N4C5H2,228.94037
Cu1O1N2C10H2,228.94594
Cu1O3N3C6H4,228.95508
Cu1O2N5C5H4,228.96638
Cu1O3N2C7H6,228.96638
Cu1O2N4C6H6,228.97868
Cu1O3N1C8H8,228.97868
Cu1O1N5C6H8,229.0027
Cu1O2N2C8H10,229.0027
Cu1O1N5C6H8,229.0033
Cu1O2N2C8H10,229.0033
Cu1O1N4C7H10,229.01469
Cu1O2N1C10H1,229.92793
Cu1O3N3C6H5,229.9617
Cu1O2N5C5H5,229.9718
Cu1O2N5C5H5,229.97484
Cu1O3N2C7H7,229.97484
Cu1O2N3C7H9,229.99795
Cu1O2N2C9,230.92319
Cu1O2N2C9,230.92544
Cu1O3N4C5H4,230.956
Cu1O3N3C6H6,230.97153
Cu1O2N5C5H6,230.98178
Cu1O3N2C7H8,230.98178
Cu1O2N4C6H8,230.99252
Cu1O2N4C6H8,230.99599
Cu1O3N1C8H10,230.99599
Cu1O3N1C8H10,230.9972
Cu1O2N3C7H10,231.00755
Cu1O2N3C7H10,231.00847
Cu1O1N5C6H10,231.01849
Cu1O2N5C5H7,231.98674
Cu1O3N2C7H9,231.99255
Cu1O1N4C8H2,232.95326
Cu1O2N1C10H4,232.95326
Cu1O3N4C5H6,232.9743
Cu1O3N3C6H8,232.98518
Cu1O3N3C6H8,232.98628
Cu1O2N4C6H10,233.00974
Cu1O3N5C4H5,233.96629
Cu1O1N3C9H5,233.97174
Cu1O1N2C10H7,233.98662
Cu1O3N3C6H9,233.99442
Cu1O2N5C5H9,234.0046
Cu1O1N5C7H2,234.95334
Cu1O3N5C4H6,234.97751
Cu1O3N4C5H8,234.98869
Cu1O3N4C5H8,234.98962
Cu1O1N2C10H8,234.99215
Cu1O1N2C10H8,234.99451
Cu1O3N3C6H10,235.00055
