m/z,Intensity,Formula,Neutral Mass
194.95838,1446.0,Cu1O2N7H2,194.95657
194.95838,1446.0,Cu1O3N4C2H4,194.95793
194.96019,16.7,Cu1O3N4C2H4,194.95793
194.97791,28.2,Cu1O1N8H4,194.98039
195.84962,22.1,Cu2O2N1C2,195.85209
195.88927,10.8,Cu2O1N1C3H4,195.8885
195.92715,1344.8,Cu1O4N4C1H1,195.92935
195.92715,1344.8,Cu1O5N1C3H3,195.93071
195.92715,1344.8,Cu1O8H5,195.92803
195.93192,99.4,Cu1O4N4C1H1,195.92935
195.93192,99.4,Cu1O5N1C3H3,195.93071
195.9624,20.9,Cu1O2N7H3,195.9644
195.9624,20.9,Cu1O3N4C2H5,195.96576
195.97519,18.6,Cu1O2N6C1H5,195.97699
195.98428,20.1,Cu1O1N8H5,195.98822
196.89479,18.4,Cu2O1N1C3H5,196.89633
196.9107,46.4,Cu1O5N3C1,196.91336
196.9236,13468.9,Cu1O4N5,196.92459
196.9236,13468.9,Cu1O5N2C2H2,196.92595
196.9247,14.3,Cu1O2N3C5,196.92863
196.9247,14.3,Cu1O4N5,196.92459
196.9247,14.3,Cu1O5N2C2H2,196.92595
196.93254,23.2,Cu1O4N4C1H2,196.93718
197.85245,2297.3,Cu2O2N2C1,197.85516
197.86815,19.6,Cu2O1N4,197.86639
197.86815,19.6,Cu2O2N1C2H2,197.86775
197.88676,17.0,Cu2O1N2C2H4,197.89157
197.89433,20.1,Cu2O1N2C2H4,197.89157
197.90924,25.2,Cu1O6N1C2H1,197.90996
197.912,76.6,Cu1O6N1C2H1,197.90996
197.94711,17.9,Cu1O1N5C4H1,197.94769
197.94711,17.9,Cu1O4N4C1H3,197.94501
197.94711,17.9,Cu1O5N1C3H5,197.94637
197.96455,15.2,Cu1O3N5C1H5,197.96883
197.97162,17.3,Cu1O3N5C1H5,197.96883
198.88245,19.0,Cu2O1N3C1H3,198.88681
198.91936,52.2,Cu1O3N2C5,198.92047
198.91936,52.2,Cu1O6N1C2H2,198.91779
198.91994,18.7,Cu1O3N2C5,198.92047
198.91994,18.7,Cu1O6N1C2H2,198.91779
198.92783,37.2,Cu1O2N4C4,198.9317
198.92783,37.2,Cu1O5N3C1H2,198.92902
198.95574,5491.2,Cu1O1N5C4H2,198.95552
199.84949,627.3,Cu2O3N1C1,199.847
199.89589,20.8,Cu2O1N3C1H4,199.89464
199.96176,22.1,Cu1O1N5C4H3,199.96335
