Formula,m/z
Cu1O3N1C9H19,252.06432
Cu1O3N1C9H19,252.06648
Cu1O9N2C1H6,252.9369
Cu1O9N1C2H8,252.94862
Cu1O6N1C6H8,252.96375
Cu1O4N1C8H16,253.03491
Cu1O1N2C11H14,253.03858
Cu1O4N1C8H16,253.03858
Cu1O6N2C4H18,253.04645
Cu1O6N2C4H18,253.04785
Cu1O1N1C12H16,253.05051
Cu1O6N1C5H20,253.0573
Cu1O3N1C9H20,253.07187
Cu1O3N1C9H20,253.07553
Cu1O4N2C8H3,253.93886
Cu1O1N2C12H3,253.95576
Cu1O9N1C2H9,253.95576
Cu1O2N2C10H11,254.01132
Cu1O4N2C7H15,254.03117
Cu1O7N1C4H17,254.03117
Cu1O1N2C11H15,254.04607
Cu1O4N1C8H17,254.04607
Cu1O1N1C12H17,254.06132
Cu1O3N2C8H19,254.06692
Cu1O4N2C8H4,254.9483
Cu1O6N2C5H8,254.96909
Cu1O2N2C10H12,255.01796
Cu1O5N1C7H14,255.01796
Cu1O7N2C3H16,255.02583
Cu1O2N1C11H14,255.0298
Cu1O7N1C4H18,255.03745
Cu1O4N2C7H16,255.03873
Cu1O7N1C4H18,255.03873
Cu1O4N1C8H18,255.05064
Cu1O1N1C12H18,255.06614
Cu1O1N1C12H18,255.06976
Cu1O4N1C9H7,255.96436
Cu1O3N2C9H9,255.99042
Cu1O5N1C7H15,256.02173
Cu1O2N2C10H13,256.02505
Cu1O5N1C7H15,256.02505
Cu1O4N1C8H19,256.05836
Cu1O4N1C8H19,256.05991
Cu1O1N2C11H17,256.06139
Cu1O4N1C8H19,256.06139
Cu1O1N2C11H17,256.06328
Cu1O6N1C7,256.89926
Cu1O8N2C3H2,256.91214
Cu1O2N2C11H2,256.93991
Cu1O5N1C8H4,256.93991
Cu1O2N1C12H4,256.95566
Cu1O1N2C12H6,256.97818
Cu1O9N1C2H12,256.97818
Cu1O9N1C2H12,256.98026
Cu1O3N2C9H10,256.9975
Cu1O6N1C6H12,256.9975
Cu1O2N2C10H14,257.0332
Cu1O5N1C7H16,257.0332
Cu1O7N2C3H18,257.04303
Cu1O2N1C11H16,257.04543
Cu1O4N1C8H20,257.06653
Cu1O1N1C12H20,257.08182
Cu1O8N2C3H3,257.91962
Cu1O1N1C13H9,257.9971
Cu1O5N1C7H17,258.03842
Cu1O2N2C10H15,258.04062
Cu1O5N1C7H17,258.04062
Cu1O7N2C3H19,258.04916
Cu1O1N2C11H19,258.07693
Cu1O6N2C6,258.90433
Cu1O9N1C3H2,258.90433
Cu1O1N1C13H10,259.00589
Cu1O3N2C9H12,259.01328
Cu1O6N1C6H14,259.01328
Cu1O3N1C10H14,259.0246
Cu1O5N2C6H16,259.03592
Cu1O5N1C7H18,259.04611
Cu1O2N1C11H18,259.06109
Cu1O9N2C2H1,259.89539
Cu1O6N2C5H13,260.00803
Cu1O2N2C10H17,260.05636
Cu1O5N1C7H19,260.05636
Cu1O2N1C11H19,260.07138
Cu1O10N1C2,260.88019
Cu1O5N2C7H6,260.95465
Cu1O8N1C4H8,260.95465
Cu1O3N1C10H16,261.04088
Cu1O3N1C10H16,261.04379
Cu1O5N2C6H18,261.05002
Cu1O8N1C3H20,261.05002
Cu1O5N2C6H18,261.05133
Cu1O2N2C10H18,261.06757
Cu1O2N1C11H20,261.07676
Cu1O4N1C10H1,261.91812
Cu1O9N1C3H5,261.92398
Cu1O3N1C10H17,262.05102
Cu1O2N2C10H19,262.07203
Cu1O3N1C11H6,262.96243
Cu1O1N2C12H12,263.02475
Cu1O9N1C2H18,263.02475
Cu1O3N1C10H18,263.05617
Cu1O3N1C10H18,263.05774
Cu1O3N1C10H18,263.05929
Cu1O5N2C6H20,263.06653
Cu1O2N1C12H11,264.00714
Cu1O1N2C12H13,264.03113
Cu1O4N1C9H15,264.03113
Cu1O3N1C10H19,264.06482
Cu1O3N1C10H19,264.06643
Cu1O7N1C5H16,265.02023
Cu1O4N2C8H14,265.02271
Cu1O7N1C5H16,265.02271
Cu1O1N2C12H14,265.03862
Cu1O4N1C9H16,265.03862
Cu1O1N2C12H14,265.04199
Cu1O9N1C2H20,265.04199
Cu1O6N2C5H18,265.04636
Cu1O6N2C5H18,265.048
Cu1O1N1C13H16,265.05052
Cu1O3N2C9H18,265.06345
Cu1O3N1C10H20,265.07162
Cu1O3N1C10H20,265.07492
Cu1O10N2C1H3,265.90741
Cu1O6N2C6H7,265.95956
Cu1O8N2C3H11,265.97949
Cu1O4N1C9H17,266.04227
Cu1O6N2C5H19,266.05338
Cu1O3N2C9H19,266.06699
Cu1O2N2C11H12,267.01886
Cu1O5N1C8H14,267.01886
Cu1O2N1C12H14,267.02902
Cu1O4N2C8H16,267.03992
Cu1O7N1C5H18,267.03992
Cu1O9N2C1H20,267.04532
